cytoband	19q12	3q26.2	8q24.21	1p34.3	8q24.3	1q21.3	11q14.1	19q13.2	3q29	1q42.3	12p12.1	19p13.13	20q13.33	5p15.33	8q11.23	7q36.3	8q24.12	14q11.2	15q26.3	3q26.32	4p16.3	6p22.3	19q13.12	14q32.33	20q11.21	19p13.12	8p11.21	10p15.3	1q25.3	10q22.3	3q13.12	12p13.33	20q13.12	2q31.2	4q13.3	17q25.3	19q11	19p13.11	7q32.3	12p11.21	2q32.2	18q11.2	12q15	19p13.2	8q22.2	2q14.1	2p23.2	6p21.2	11q24.1	12q12	20p13	11q13.3	3q22.3	6p25.1	22q12.2	1q32.1	2p25.3	12p13.31	11p13	8q13.2	10q26.3	10p11.22	12q13.2	5q35.3	
			MIR1204		MIR6846		KCTD21-AS1							EXOC3		DNAJB6		RNASE8	SYNM					MTA1	ABALON			LINC00200				IQSEC3				HP09025												GUCA1B			VPS16			FOXC1							ECHS1		MYL6B	PDLIM7	
			MIR1208				NDUFC2-KCTD14							PP7080		NCAPG2		RNASE13	OR4F4					FAM30A				LOC101927762				LOC574538				LOC101928738												MDFI			PCED1A			GCNT2							GPR26			RGS14	
														CEP72		WDR60		TMEM253	LINS1					SIVA1								FAM138D				LOC101928766												MEA1			MRPS26			GMDS							HMX2			LMAN2	
														AHRR		ESYT2		LOC101929718	VIMP					PACS2								LOC100049716																MOCS1			C20orf141			HIVEP1							INPP5A			B4GALT7	
														BRD9		LMBR1		MIR6717	TTC23					GPR132								LOC100288778																NFYA			UBOX5-AS1			IRF4							MGMT			ZNF346	
														ZDHHC11		LINC00244			LRRK1					CDCA4								LOC101929384																PEX6			TMEM239			MAK							MKI67			TSPAN17	
														CLPTM1L		NOM1			TM2D3					INF2								LOC102723544																PGC						NEDD9							OAT			PRELID1	
														NKD2		C7orf13			TARSL2					TMEM121								LOC105369595																PIM1						NQO2							HTRA1			DDX41	
														EXOC3-AS1		RNF32			LRRC28					BTBD6																								POLH						SERPINB6							PTPRE			UIMC1	
														CCDC127		LINC00689			ASB7					AHNAK2																								PPP2R5D						SERPINB9							UROS			RAB24	
														PLEKHG4B		RBM33			LYSMD4					C14orf79																								PTK7						RREB1							ADAM12			FAM193B	
														SLC6A19		CNPY1			PGPEP1L					PLD4																								PRPH2						SSR1							UTF1			TMED9	
														SLC6A18		LOC285889			ADAMTS17					ADSSL1																								SRSF3						TFAP2A							BUB3			NSD1	
														LRRC14B		BLACE			DNM1P46					LINC00638																								SRF						TUBB2A							FAM53B			DOK3	
														LOC100288152		LOC389602			CERS3					NUDT14																								TBCC						RIPK1							GLRX3			PRR7	
														LOC100506688		MIR153-2			FAM169B					CEP170B																								VEGFA						PRPF4B							DPYSL4			MXD3	
														MIR4457		MNX1-AS1			WASH3P					C14orf80																								TFEB						GCM2							TUBGCP2			UNC5A	
														MIR4456		MIR595			SPATA41					LINC00226																								KCNK5						CD83							FAM175B			LOC202181	
														MIR4635		LOC100506302			OR4F6					LINC00221																								RNF8						CDYL							EDRF1			EIF4E1B	
														LOC100996325		LINC01006			OR4F15					TEX22																								NCR2						LY86							VENTX			PRR7-AS1	
														CTD-3080P12.3		LOC100506585			OR4F13P					ZBTB42																								MED20						EEF1E1							CUZD1			PFN3	
														HRAT5		MIR5707			LOC400464					LOC100507437																								POLR1C						RANBP9							CALY			MIR4281	
																LOC101927914			PRKXP1					MIR4507																								MAD2L1BP						ECI2							CHST15			LINC01574	
																LINC01022			FAM138E					MIR4538																								CUL7						FARS2							ZRANB1				
																			LOC100128108					MIR4539																								DNPH1						RPP40							CFAP46				
																			DDX11L9					MIR4537																								CNPY3						SIRT5							DHX32				
																			MIR1302-2					MIR5195																								FRS3						FAM50B							PPP2R2D				
																			MIR1302-9					MIR6765																								SLC22A7						SLC35B3							BCCIP				
																			MIR1302-10					MIR7641-2																								APOBEC2						TBC1D7							LHPP				
																			MIR1302-11					MIR8071-1																								STK38						NRN1							IKZF5				
																			LOC100507472					LOC102723354																								CMTR1						NOL7							C10orf88				
																			MIR4714					LOC105370697																								CUL9						TMEM14C							LRRC27				
																			LOC101927751																													UBR2						GFOD1							ADGRA1				
																			MIR6859-2																													DAAM2						ELOVL2							NKX6-2				
																			MIR6859-3																													GLTSCR1L						PAK1IP1							KNDC1				
																			MIR6859-1																													MTCH1						EXOC2							MTG1				
																			CERS3-AS1																													ZNF318						WRNIP1							FANK1				
																			LOC102723335																													YIPF3						DUSP22							SYCE1				
																			IRAIN																													USP49						LYRM4							PRAP1				
																			LUNAR1																													GNMT						SLC22A23							ZNF511				
																			PCSK6-AS1																													PRICKLE4						BLOC1S5							C10orf90				
																																																MRPL2						MCUR1							FAM24A				
																																																PPIL1						TXNDC5							PSTK				
																																																TREM2						TMEM14B							MMP21				
																																																TREM1						RIOK1							CTAGE7P				
																																																GTPBP2						ADTRP							CLRN3				
																																																MRPS18A						FOXQ1							CPXM2				
																																																MRPS10						HUS1B							C10orf91				
																																																TMEM63B						SNRNP48							PWWP2B				
																																																TBC1D22B						LINC01600							PAOX				
																																																SAYSD1						PIP5K1P1							FAM24B				
																																																TRERF1						RNF182							EBF3				
																																																LRFN2						PHACTR1							TCERG1L				
																																																XPO5						SMIM13							FUOM				
																																																CPNE5						SYCP2L							JAKMIP3				
																																																ZFAND3						LINC00518							STK32C				
																																																MRPL14						PXDC1							LOC283038				
																																																DLK2						SERPINB9P1							HMX3				
																																																TREML2						FAM217A							DMBT1P1				
																																																KCNK16						LOC285766							ARMS2				
																																																TTBK1						LINC01622							TEX36				
																																																RRP36						LY86-AS1							LINC00959				
																																																KCNK17						CAGE1							NKX1-2				
																																																ABCC10						MYLK4							C10orf120				
																																																KLC4						TUBB2B							LOC399815				
																																																TJAP1						C6orf52							METTL10				
																																																BTBD9						PSMG4							FLJ37035				
																																																FOXP4						LINC01011							FOXI2				
																																																KLHDC3						HTATSF1P2							LINC01164				
																																																TAF8						C6orf201							LINC01168				
																																																CCDC167						ERVFRD-1							SPRNP1				
																																																PTCRA						LINC00266-3							FRG2B				
																																																C6orf223						KU-MEL-3							SPRN				
																																																RSPH9						PPP1R3G							MIR202				
																																																LRRC73						HULC							NPS				
																																																TREML5P						TMEM170B							SCART1				
																																																ADCY10P1						SCARNA27							FAM196A				
																																																OARD1						LYRM4-AS1							ADGRA1-AS1				
																																																KIF6						TFAP2A-AS1							TEX36-AS1				
																																																TMEM217						LOC100130357							DUX4				
																																																FGD2						MIR3691							MIR378C				
																																																PI16						LOC100506207							MIR4297				
																																																C6orf89						ELOVL2-AS1							MIR4296				
																																																TSPO2						LOC100507194							MIR3944				
																																																UNC5CL						LOC100507506							FAM24B-CUZD1				
																																																KCTD20						GMDS-AS1							MIR4484				
																																																MDGA1						BLOC1S5-TXNDC5							LINC00601				
																																																TREML4						EEF1E1-BLOC1S5							FANK1-AS1				
																																																RPL7L1						MIR4645							LINC01163				
																																																TREML1						MIR5689							TCERG1L-AS1				
																																																TREML3P						MIR5683							LINC01166				
																																																RAB44						LOC101927691							MIR202HG				
																																																LINC00951						FOXCUT							FAM53B-AS1				
																																																LOC401261						LOC101927730							EDRF1-AS1				
																																																CRIP3						LOC101927759							LINC01167				
																																																C6orf226						LOC101927950							AS-PTPRE				
																																																ATP6V0CP3						LOC101927972											
																																																C6orf132						LOC101928191											
																																																TDRG1						LOC101928253											
																																																LOC100131047						LINC01108											
																																																LINC01512						MIR7641-2											
																																																TOMM6						MIR6720											
																																																MIR3925						MIR7853											
																																																LOC100505530						LOC102724096											
																																																LOC100505635						MIR5689HG											
																																																MIR4641						TBC1D7-LOC100130357											
																																																MIR4462																	
																																																FOXP4-AS1																	
																																																PANDAR																	
																																																LOC101929555																	
																																																LOC101929705																	
																																																MIR6780B																	
																																																LINC01276																	
																																																CNPY3-GNMT																	
